job_id,task,target_column,horizon_windows,family,candidate_id,preprocessing_family,primary_metric,fold_count,successful_folds,status,mean_macro_f1,std_macro_f1,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_accuracy,std_accuracy,fit_seconds,prediction_seconds,failure,parameters_json,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc
congestion_h3,congestion,target_congestion_h3,3,decision_tree,tree_balanced,tree,macro_f1,5,5,success,0.5789767934,0.0253428236,0.5745828679,0.0176769068,0.6001917494,0.0342426818,0.7599358644,0.021588062,0.192625,0.193704,,"{""max_depth"":10,""min_samples_leaf"":12}",,,,
congestion_h3,congestion,target_congestion_h3,3,decision_tree,tree_deep,tree,macro_f1,5,5,success,0.5727462205,0.0318774186,0.5638385832,0.0291106037,0.5893025746,0.0396147864,0.7508189618,0.0225343162,0.201609,0.193746,,"{""max_depth"":16,""min_samples_leaf"":6}",,,,
congestion_h3,congestion,target_congestion_h3,3,random_forest,forest_balanced,tree,macro_f1,5,5,success,0.6381303761,0.0333249767,0.6351406601,0.0331387353,0.6460366849,0.0344226849,0.7958346203,0.0211792591,0.408207,0.389955,,"{""max_depth"":12,""max_features"":0.7,""min_samples_leaf"":6,""n_estimators"":24}",,,,
congestion_h3,congestion,target_congestion_h3,3,random_forest,forest_deep,tree,macro_f1,5,5,success,0.6278241394,0.0359803984,0.6312095084,0.0314260798,0.6348646375,0.0405764626,0.7929204204,0.0220537972,0.679094,0.408347,,"{""max_depth"":18,""max_features"":0.9,""min_samples_leaf"":3,""n_estimators"":48}",,,,
congestion_h3,congestion,target_congestion_h3,3,xgboost,xgb_balanced,tree,macro_f1,5,5,success,0.6172037554,0.034087132,0.6085034048,0.0383784861,0.651897871,0.0336151871,0.7737576147,0.0143997523,0.432298,0.203955,,"{""colsample_bytree"":1.0,""learning_rate"":0.1,""max_depth"":4,""min_child_weight"":5,""n_estimators"":40,""subsample"":1.0}",,,,
congestion_h3,congestion,target_congestion_h3,3,xgboost,xgb_deep,tree,macro_f1,5,5,success,0.6174313648,0.0404146001,0.6161654337,0.0430684329,0.6419491005,0.044031164,0.7834049764,0.021585121,0.850076,0.234245,,"{""colsample_bytree"":1.0,""learning_rate"":0.06,""max_depth"":6,""min_child_weight"":3,""n_estimators"":64,""subsample"":1.0}",,,,
congestion_h3,congestion,target_congestion_h3,3,svm,svm_regularized,svm,macro_f1,5,5,success,0.5289336474,0.0421302989,0.5504801032,0.0547511116,0.5423911002,0.0455535018,0.7252065637,0.0180252914,0.251534,0.107313,,"{""C"":0.1,""max_iter"":5000,""tol"":0.001}",,,,
congestion_h3,congestion,target_congestion_h3,3,svm,svm_default,svm,macro_f1,5,5,success,0.5297599229,0.039791447,0.5465178494,0.0485881208,0.545073507,0.0476691259,0.7232151437,0.016975401,0.285559,0.100508,,"{""C"":1.0,""max_iter"":5000,""tol"":0.001}",,,,
congestion_h4,congestion,target_congestion_h4,4,decision_tree,tree_balanced,tree,macro_f1,5,5,success,0.5458481073,0.0305313956,0.5457555946,0.0382332821,0.5771988144,0.0299859392,0.7205499139,0.0092542286,0.201205,0.210475,,"{""max_depth"":10,""min_samples_leaf"":12}",,,,
congestion_h4,congestion,target_congestion_h4,4,decision_tree,tree_deep,tree,macro_f1,5,5,success,0.5313297444,0.0287157602,0.5258425255,0.0319250306,0.5556308176,0.0341827081,0.7097928858,0.0097338472,0.211646,0.21227,,"{""max_depth"":16,""min_samples_leaf"":6}",,,,
