job_id,split,threshold,precision,recall,f1,predicted_positive_rows,selected
accident_h1,validation_assessment,0.0074590618,0.0104729,0.7886178862,0.020671284,9262,False
accident_h1,validation_assessment,0.0074769639,0.0103305785,0.7723577236,0.0203884537,9196,False
accident_h1,validation_assessment,0.0074907083,0.0104052574,0.7723577236,0.0205338809,9130,False
accident_h1,validation_assessment,0.0075041601,0.0103706973,0.7642276423,0.0204636987,9064,False
accident_h1,validation_assessment,0.0075213282,0.0104467659,0.7642276423,0.020611775,8998,False
accident_h1,validation_assessment,0.007536617,0.0105251372,0.7642276423,0.0207643031,8931,False
accident_h1,validation_assessment,0.007548904,0.0106034969,0.7642276423,0.0209167779,8865,False
accident_h1,validation_assessment,0.0075635188,0.0105693829,0.756097561,0.0208473436,8799,False
accident_h1,validation_assessment,0.0075792021,0.0106492614,0.756097561,0.02100271,8733,False
accident_h1,validation_assessment,0.0075899569,0.0107303565,0.756097561,0.0211604096,8667,False
accident_h1,validation_assessment,0.0076082735,0.0106964306,0.7479674797,0.0210912425,8601,False
accident_h1,validation_assessment,0.0076225219,0.0106632294,0.7398373984,0.0210234492,8534,False
accident_h1,validation_assessment,0.0076370507,0.0107463392,0.7398373984,0.021184961,8468,False
accident_h1,validation_assessment,0.007652506,0.0108307546,0.7398373984,0.0213489736,8402,False
accident_h1,validation_assessment,0.0076658952,0.0109165067,0.7398373984,0.0215155456,8336,False
accident_h1,validation_assessment,0.0076822063,0.0108827086,0.7317073171,0.0214464435,8270,False
accident_h1,validation_assessment,0.0076938391,0.0108483667,0.7235772358,0.0213762459,8204,False
accident_h1,validation_assessment,0.0077098923,0.010936348,0.7235772358,0.0215470282,8138,False
accident_h1,validation_assessment,0.0077224287,0.0109032338,0.7154471545,0.0214791311,8071,False
accident_h1,validation_assessment,0.0077346819,0.0109931293,0.7154471545,0.0216535433,8005,False
accident_h1,validation_assessment,0.0077463826,0.010958559,0.7073170732,0.0215827338,7939,False
accident_h1,validation_assessment,0.0077619773,0.0110504255,0.7073170732,0.0217608804,7873,False
accident_h1,validation_assessment,0.0077788901,0.0110157551,0.6991869919,0.0216897856,7807,False
accident_h1,validation_assessment,0.0077944216,0.0107221289,0.674796748,0.0211088505,7741,False
accident_h1,validation_assessment,0.0078082228,0.0108157415,0.674796748,0.0212902398,7674,False
accident_h1,validation_assessment,0.0078213098,0.0109095689,0.674796748,0.0214719959,7608,False
accident_h1,validation_assessment,0.0078343058,0.0110050385,0.674796748,0.0216568819,7542,False
accident_h1,validation_assessment,0.0078505899,0.0108346709,0.6585365854,0.0213185946,7476,False
accident_h1,validation_assessment,0.0078654591,0.0109311741,0.6585365854,0.0215053763,7410,False
accident_h1,validation_assessment,0.0078805489,0.0110294118,0.6585365854,0.02169546,7344,False
accident_h1,validation_assessment,0.0078961409,0.0109920308,0.6504065041,0.0216187002,7278,False
accident_h1,validation_assessment,0.0079098761,0.0110941617,0.6504065041,0.0218161985,7211,False
accident_h1,validation_assessment,0.0079262128,0.011196641,0.6504065041,0.0220143093,7145,False
accident_h1,validation_assessment,0.0079417905,0.0113010312,0.6504065041,0.0222160511,7079,False
accident_h1,validation_assessment,0.0079553978,0.011264794,0.6422764228,0.0221412556,7013,False
accident_h1,validation_assessment,0.0079738339,0.0113718152,0.6422764228,0.0223479491,6947,False
accident_h1,validation_assessment,0.0079874011,0.0114808894,0.6422764228,0.022558538,6881,False
accident_h1,validation_assessment,0.00800036,0.0115937775,0.6422764228,0.0227764163,6814,False
accident_h1,validation_assessment,0.0080167854,0.0117071725,0.6422764228,0.0229951972,6748,False
accident_h1,validation_assessment,0.0080304601,0.0116731518,0.6341463415,0.0229243204,6682,False
accident_h1,validation_assessment,0.0080497711,0.011789601,0.6341463415,0.0231488351,6616,False
accident_h1,validation_assessment,0.0080618451,0.0119083969,0.6341463415,0.0233777911,6550,False
accident_h1,validation_assessment,0.008078031,0.0118753856,0.6260162602,0.0233086121,6484,False
accident_h1,validation_assessment,0.0080991478,0.0118416952,0.6178861789,0.023238037,6418,False
accident_h1,validation_assessment,0.0081198235,0.0119666194,0.6178861789,0.0234785295,6351,False
accident_h1,validation_assessment,0.0081349515,0.0120922832,0.6178861789,0.0237203496,6285,False
accident_h1,validation_assessment,0.0081515729,0.0120598167,0.6097560976,0.0236518448,6219,False
accident_h1,validation_assessment,0.0081721071,0.0120266537,0.6016260163,0.0235818993,6153,False
accident_h1,validation_assessment,0.0081897174,0.012157056,0.6016260163,0.0238325282,6087,False
accident_h1,validation_assessment,0.008206652,0.0121242319,0.593495935,0.0237630208,6021,False
accident_h1,validation_assessment,0.0082261052,0.0117568021,0.5691056911,0.0230376831,5954,False
accident_h1,validation_assessment,0.0082443572,0.01171875,0.5609756098,0.0229579105,5888,False
accident_h1,validation_assessment,0.008262367,0.0118515974,0.5609756098,0.0232127839,5822,False
accident_h1,validation_assessment,0.0082816652,0.0118137596,0.5528455285,0.0231331859,5756,False
accident_h1,validation_assessment,0.0083021498,0.0119507909,0.5528455285,0.0233958369,5690,False
accident_h1,validation_assessment,0.0083180508,0.0120910384,0.5528455285,0.0236645206,5624,False
accident_h1,validation_assessment,0.0083333716,0.0122346168,0.5528455285,0.0239394473,5558,False
accident_h1,validation_assessment,0.0083536289,0.0123839009,0.5528455285,0.0242251514,5491,False
accident_h1,validation_assessment,0.0083749815,0.0125345622,0.5528455285,0.0245133381,5425,False
accident_h1,validation_assessment,0.0083976418,0.0123157305,0.5365853659,0.0240788034,5359,False
accident_h1,validation_assessment,0.0084199236,0.0124692991,0.5365853659,0.0243722304,5293,False
accident_h1,validation_assessment,0.0084458174,0.0126267457,0.5365853659,0.0246728972,5227,False
accident_h1,validation_assessment,0.0084655044,0.0124006975,0.5203252033,0.0242240727,5161,False
accident_h1,validation_assessment,0.008487832,0.0123674912,0.512195122,0.0241518114,5094,False
accident_h1,validation_assessment,0.0085093605,0.0121320605,0.4959349593,0.0236847214,5028,False
accident_h1,validation_assessment,0.0085347785,0.0122934301,0.4959349593,0.0239921337,4962,False
accident_h1,validation_assessment,0.0085577544,0.012254902,0.487804878,0.0239091452,4896,False
accident_h1,validation_assessment,0.0085774851,0.0124223602,0.487804878,0.0242277408,4830,False
accident_h1,validation_assessment,0.0085995564,0.0123845508,0.4796747967,0.0241456927,4764,False
accident_h1,validation_assessment,0.0086238998,0.0125585355,0.4796747967,0.0244762497,4698,False
accident_h1,validation_assessment,0.0086511156,0.0127402289,0.4796747967,0.0248212032,4631,False
accident_h1,validation_assessment,0.0086751151,0.012924425,0.4796747967,0.0251706485,4565,False
accident_h1,validation_assessment,0.0087082968,0.0131140253,0.4796747967,0.0255300736,4499,False
accident_h1,validation_assessment,0.0087330317,0.0133092714,0.4796747967,0.0258999122,4433,False
accident_h1,validation_assessment,0.0087665444,0.0132814289,0.4715447154,0.0258351893,4367,False
accident_h1,validation_assessment,0.0087923692,0.0127877238,0.4471544715,0.0248643761,4301,False
accident_h1,validation_assessment,0.008823218,0.0129900803,0.4471544715,0.0252467294,4234,False
accident_h1,validation_assessment,0.0088515736,0.0129558541,0.4390243902,0.0251689583,4168,False
accident_h1,validation_assessment,0.0088803682,0.0131643101,0.4390243902,0.0255621302,4102,False
accident_h1,validation_assessment,0.0089107705,0.0133795837,0.4390243902,0.0259677807,4036,False
accident_h1,validation_assessment,0.0089531207,0.0136020151,0.4390243902,0.0263865136,3970,False
accident_h1,validation_assessment,0.008984937,0.0135758197,0.4308943089,0.0263223243,3904,False
accident_h1,validation_assessment,0.0090157172,0.0138128746,0.4308943089,0.0267676768,3837,False
accident_h1,validation_assessment,0.0090490637,0.0140546274,0.4308943089,0.0272213662,3771,False
accident_h1,validation_assessment,0.0090874906,0.0140350877,0.4227642276,0.0271682341,3705,False
accident_h1,validation_assessment,0.0091303395,0.01428964,0.4227642276,0.0276448698,3639,False
accident_h1,validation_assessment,0.0091663072,0.0145535964,0.4227642276,0.0281385281,3573,False
accident_h1,validation_assessment,0.0092181942,0.0148274879,0.4227642276,0.0286501377,3507,False
accident_h1,validation_assessment,0.0092637572,0.0148212729,0.4146341463,0.0286195286,3441,False
accident_h1,validation_assessment,0.0093203909,0.0148192057,0.406504065,0.0285959394,3374,False
accident_h1,validation_assessment,0.0093747759,0.0148125756,0.3983739837,0.0285631011,3308,False
accident_h1,validation_assessment,0.0094282921,0.0151141271,0.3983739837,0.0291233284,3242,False
accident_h1,validation_assessment,0.0094851844,0.0154282116,0.3983739837,0.0297059715,3176,False
accident_h1,validation_assessment,0.0095442361,0.0154340836,0.3902439024,0.0296937829,3110,False
accident_h1,validation_assessment,0.0095961406,0.0157687254,0.3902439024,0.0303125987,3044,False
accident_h1,validation_assessment,0.0096599716,0.0157877057,0.3821138211,0.0303225806,2977,False
accident_h1,validation_assessment,0.0097202126,0.0158021299,0.3739837398,0.0303230059,2911,False
accident_h1,validation_assessment,0.009779192,0.016168717,0.3739837398,0.0309973046,2845,False
accident_h1,validation_assessment,0.009854535,0.0158330335,0.3577235772,0.0303239145,2779,False
accident_h1,validation_assessment,0.0099270831,0.0162182086,0.3577235772,0.0310296192,2713,False
accident_h1,validation_assessment,0.010002843,0.0154892331,0.3333333333,0.0296028881,2647,False
accident_h1,validation_assessment,0.010092061,0.015497869,0.325203252,0.0295857988,2581,False
accident_h1,validation_assessment,0.0101856977,0.015910899,0.325203252,0.0303375047,2514,False
accident_h1,validation_assessment,0.0102700399,0.0147058824,0.2926829268,0.0280046674,2448,False
accident_h1,validation_assessment,0.0103591516,0.0151133501,0.2926829268,0.028742515,2382,False
accident_h1,validation_assessment,0.0104449779,0.0151122625,0.2845528455,0.028700287,2316,False
accident_h1,validation_assessment,0.0105350223,0.0155555556,0.2845528455,0.0294985251,2250,False
accident_h1,validation_assessment,0.0106580715,0.016025641,0.2845528455,0.0303424361,2184,False
accident_h1,validation_assessment,0.0107575474,0.0165328295,0.2845528455,0.03125,2117,False
accident_h1,validation_assessment,0.0108719143,0.0170648464,0.2845528455,0.0321987121,2051,False
accident_h1,validation_assessment,0.0109947073,0.0176322418,0.2845528455,0.0332068311,1985,False
accident_h1,validation_assessment,0.0111297954,0.0177175612,0.2764227642,0.0333006856,1919,False
accident_h1,validation_assessment,0.0112418292,0.0183486239,0.2764227642,0.0344129555,1853,False
accident_h1,validation_assessment,0.0113908874,0.0179071069,0.2601626016,0.0335078534,1787,False
accident_h1,validation_assessment,0.0115110665,0.0185938408,0.2601626016,0.0347071584,1721,False
accident_h1,validation_assessment,0.0116466252,0.0193470375,0.2601626016,0.0360157569,1654,False
accident_h1,validation_assessment,0.0117737934,0.0201511335,0.2601626016,0.0374050263,1588,False
accident_h1,validation_assessment,0.0119055908,0.0203679369,0.2520325203,0.0376899696,1522,False
