job_id,task,horizon_windows,split,actual_index,actual_label,predicted_index,predicted_label,rows
congestion_h4,congestion,4,validation,0,Free-flow,3,Severe,2
congestion_h4,congestion,4,validation,1,Moderate,0,Free-flow,459
congestion_h4,congestion,4,validation,1,Moderate,1,Moderate,5098
congestion_h4,congestion,4,validation,1,Moderate,2,Heavy,964
congestion_h4,congestion,4,validation,1,Moderate,3,Severe,73
congestion_h4,congestion,4,validation,2,Heavy,0,Free-flow,1
congestion_h4,congestion,4,validation,2,Heavy,1,Moderate,246
congestion_h4,congestion,4,validation,2,Heavy,2,Heavy,1559
congestion_h4,congestion,4,validation,2,Heavy,3,Severe,760
congestion_h4,congestion,4,validation,3,Severe,0,Free-flow,0
congestion_h4,congestion,4,validation,3,Severe,1,Moderate,4
congestion_h4,congestion,4,validation,3,Severe,2,Heavy,315
congestion_h4,congestion,4,validation,3,Severe,3,Severe,1110
congestion_h4,congestion,4,test,0,Free-flow,0,Free-flow,15196
congestion_h4,congestion,4,test,0,Free-flow,1,Moderate,1114
congestion_h4,congestion,4,test,0,Free-flow,2,Heavy,7
congestion_h4,congestion,4,test,0,Free-flow,3,Severe,0
congestion_h4,congestion,4,test,1,Moderate,0,Free-flow,484
congestion_h4,congestion,4,test,1,Moderate,1,Moderate,5106
congestion_h4,congestion,4,test,1,Moderate,2,Heavy,906
congestion_h4,congestion,4,test,1,Moderate,3,Severe,56
congestion_h4,congestion,4,test,2,Heavy,0,Free-flow,0
congestion_h4,congestion,4,test,2,Heavy,1,Moderate,267
congestion_h4,congestion,4,test,2,Heavy,2,Heavy,1566
congestion_h4,congestion,4,test,2,Heavy,3,Severe,810
congestion_h4,congestion,4,test,3,Severe,0,Free-flow,0
congestion_h4,congestion,4,test,3,Severe,1,Moderate,4
congestion_h4,congestion,4,test,3,Severe,2,Heavy,313
congestion_h4,congestion,4,test,3,Severe,3,Severe,1246
accident_h1,accident,1,validation,0,no_accident,0,no_accident,24547
accident_h1,accident,1,validation,0,no_accident,1,accident,1672
accident_h1,accident,1,validation,1,accident,0,no_accident,197
accident_h1,accident,1,validation,1,accident,1,accident,39
accident_h1,accident,1,test,0,no_accident,0,no_accident,24586
accident_h1,accident,1,test,0,no_accident,1,accident,1611
accident_h1,accident,1,test,1,accident,0,no_accident,213
accident_h1,accident,1,test,1,accident,1,accident,46
accident_h2,accident,2,validation,0,no_accident,0,no_accident,25906
accident_h2,accident,2,validation,0,no_accident,1,accident,289
accident_h2,accident,2,validation,1,accident,0,no_accident,229
accident_h2,accident,2,validation,1,accident,1,accident,7
accident_h2,accident,2,test,0,no_accident,0,no_accident,25830
accident_h2,accident,2,test,0,no_accident,1,accident,344
accident_h2,accident,2,test,1,accident,0,no_accident,247
accident_h2,accident,2,test,1,accident,1,accident,11
accident_h3,accident,3,validation,0,no_accident,0,no_accident,25766
accident_h3,accident,3,validation,0,no_accident,1,accident,405
accident_h3,accident,3,validation,1,accident,0,no_accident,230
accident_h3,accident,3,validation,1,accident,1,accident,6
accident_h3,accident,3,test,0,no_accident,0,no_accident,25581
accident_h3,accident,3,test,0,no_accident,1,accident,570
accident_h3,accident,3,test,1,accident,0,no_accident,245
accident_h3,accident,3,test,1,accident,1,accident,13
accident_h4,accident,4,validation,0,no_accident,0,no_accident,24230
accident_h4,accident,4,validation,0,no_accident,1,accident,1917
accident_h4,accident,4,validation,1,accident,0,no_accident,217
accident_h4,accident,4,validation,1,accident,1,accident,19
accident_h4,accident,4,test,0,no_accident,0,no_accident,24114
accident_h4,accident,4,test,0,no_accident,1,accident,2012
accident_h4,accident,4,test,1,accident,0,no_accident,214
accident_h4,accident,4,test,1,accident,1,accident,44
