candidate_id,recurrent_type,sequence_length,hidden_size,layer_count,recurrent_dropout,head_hidden_size,head_dropout,batch_size,learning_rate,weight_decay,parameter_count,best_epoch,stopped_epoch,early_stopped,validation_mean_rmse,fit_seconds,prediction_seconds,device
lstm_s12_h32,lstm,12,32,1,0,32,0.2,1024,0.002,1e-05,13732,8,11,True,58.8853410331,16.0396377,1.35109330009,cpu
lstm_s24_h48,lstm,24,48,2,0.2,32,0.2,1024,0.001,1e-05,42404,7,10,True,59.2255065424,53.1517864,3.03294280003,cpu
