job_id,target,target_column,horizon_windows,family,candidate_id,fold,status,failure,full_training_rows,sampled_training_rows,sampled_training_timestamps,validation_rows,training_origin_start,training_origin_end,maximum_training_target_timestamp,validation_origin_start,validation_origin_end,rows,rmse,mae,mape_percent,r_squared,mape_nonzero_rows,mape_zero_actual_rows,fit_seconds,prediction_seconds
volume_h1,volume,target_volume_h1,1,decision_tree,tree_deep,5,success,,118350,2400,96,8375,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:00:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T16:00:00+05:30,8375,111.29625415,71.6459685813,16.3645523602,0.856558897,8375,0,0.04539,0.020306
volume_h1,volume,target_volume_h1,1,random_forest,forest_balanced,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,81.3167895479,54.0668547317,15.8603981776,0.9186294875,8400,0,0.0547,0.035099
volume_h1,volume,target_volume_h1,1,random_forest,forest_balanced,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,75.0091892159,51.040541543,11.8933850813,0.9267101778,8400,0,0.053174,0.038299
volume_h1,volume,target_volume_h1,1,random_forest,forest_balanced,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:00:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,81.8645918887,55.0965116358,12.0925976729,0.9187281762,8400,0,0.05404,0.035774
volume_h1,volume,target_volume_h1,1,random_forest,forest_balanced,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:00:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,74.3831730397,49.5252824356,13.3409011252,0.910254343,8400,0,0.052422,0.035472
volume_h1,volume,target_volume_h1,1,random_forest,forest_balanced,5,success,,118350,2400,96,8375,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:00:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T16:00:00+05:30,8375,96.1280588945,59.9274122771,13.7372588404,0.8929928331,8375,0,0.052099,0.036025
volume_h1,volume,target_volume_h1,1,random_forest,forest_deep,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,80.9271856599,53.683443014,15.6300837909,0.9194073422,8400,0,0.063955,0.041533
volume_h1,volume,target_volume_h1,1,random_forest,forest_deep,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,74.9569503514,50.7028583716,11.7795178644,0.9268122252,8400,0,0.063685,0.038033
volume_h1,volume,target_volume_h1,1,random_forest,forest_deep,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:00:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,79.7305111603,54.0616130588,11.903495449,0.9229102033,8400,0,0.06543,0.037696
volume_h1,volume,target_volume_h1,1,random_forest,forest_deep,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:00:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,73.9021580488,49.4201025893,13.3312770035,0.9114113097,8400,0,0.062333,0.037797
