task,horizon_windows,horizon_minutes,split,model_version,reliability_type,bin_index,bin_lower,bin_upper,rows,mean_probability,observed_rate,absolute_gap,expected_calibration_error
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,9,0.9,1,0,,,,0.000987523530797
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,0,0,0.1,26407,0.00871593307104,0.00893702427387,0.000221091202828,0.000221091202828
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,1,0.1,0.2,0,,,,0.000221091202828
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,2,0.2,0.3,0,,,,0.000221091202828
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,3,0.3,0.4,0,,,,0.000221091202828
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,4,0.4,0.5,0,,,,0.000221091202828
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,5,0.5,0.6,0,,,,0.000221091202828
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,6,0.6,0.7,0,,,,0.000221091202828
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,7,0.7,0.8,0,,,,0.000221091202828
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,8,0.8,0.9,0,,,,0.000221091202828
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,9,0.9,1,0,,,,0.000221091202828
accident,4,120,test,classical_classification_v1,accident_probability_vs_event,0,0,0.1,26384,0.00862584616576,0.00977865372953,0.00115280756377,0.00115280756377
accident,4,120,test,classical_classification_v1,accident_probability_vs_event,1,0.1,0.2,0,,,,0.00115280756377
accident,4,120,test,classical_classification_v1,accident_probability_vs_event,2,0.2,0.3,0,,,,0.00115280756377
accident,4,120,test,classical_classification_v1,accident_probability_vs_event,3,0.3,0.4,0,,,,0.00115280756377
accident,4,120,test,classical_classification_v1,accident_probability_vs_event,4,0.4,0.5,0,,,,0.00115280756377
accident,4,120,test,classical_classification_v1,accident_probability_vs_event,5,0.5,0.6,0,,,,0.00115280756377
accident,4,120,test,classical_classification_v1,accident_probability_vs_event,6,0.6,0.7,0,,,,0.00115280756377
accident,4,120,test,classical_classification_v1,accident_probability_vs_event,7,0.7,0.8,0,,,,0.00115280756377
accident,4,120,test,classical_classification_v1,accident_probability_vs_event,8,0.8,0.9,0,,,,0.00115280756377
accident,4,120,test,classical_classification_v1,accident_probability_vs_event,9,0.9,1,0,,,,0.00115280756377
accident,4,120,validation,classical_classification_v1,accident_probability_vs_event,0,0,0.1,26383,0.00867777992208,0.00894515407649,0.000267374154405,0.000267374154405
accident,4,120,validation,classical_classification_v1,accident_probability_vs_event,1,0.1,0.2,0,,,,0.000267374154405
